the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E610000015A4BED173CD52C0B26E93BC00014440,0101000020110F0000A053432022F05FC1B30CC73902915241,12648663,2022,2.02219E+11,400,2022-04-15 00:00:00+00,0:06:00,B,M,38,Multiple,N,N,N,3900 BLOCK PRESIDENTIAL BLVD,0,-75.21019405,40.00783498,19,0,1,0,40.00783498,-75.21019405
0101000020E610000075CD3F5520C952C0C5D255F466014440,0101000020110F00004131F7F2C8E85FC12BED839173915241,12649096,2018,2.01825E+11,100,2018-06-15 00:00:00+00,22:17:00,B,M,23,Chest,N,N,N,3800 BLOCK Percy St,0,-75.14259845,40.01095442,25,0,1,1,40.01095442,-75.14259845
0101000020E610000075CD3F5520C952C0C5D255F466014440,0101000020110F00004131F7F2C8E85FC12BED839173915241,12649097,2018,2.01825E+11,100,2018-06-15 00:00:00+00,22:32:00,B,M,24,Leg,N,N,N,3800 BLOCK Percy St,0,-75.14259845,40.01095442,25,0,1,0,40.01095442,-75.14259845
0101000020E610000075CD3F5520C952C0C5D255F466014440,0101000020110F00004131F7F2C8E85FC12BED839173915241,12649098,2018,2.01825E+11,100,2018-06-15 00:00:00+00,22:32:00,B,M,23,Buttocks,N,N,N,3800 BLOCK Percy St,0,-75.14259845,40.01095442,25,0,1,0,40.01095442,-75.14259845
0101000020E61000004B3558DDCFC852C0DEEAD6BE42024440,0101000020110F00007E5FF44340E85FC1906A4C4C67925241,12649099,2022,2.02225E+11,400,2022-10-11 00:00:00+00,12:39:00,B,M,30,Multiple,N,N,N,4300 BLOCK N MARSHALL ST,0,-75.13768705,40.01766191,25,1,0,0,40.01766191,-75.13768705
0101000020E6100000F69EE30670C552C02CA23F979D024440,0101000020110F00007DA53DF384E25FC1A8D0790BCC925241,12649100,2018,2.01815E+11,400,2018-06-23 00:00:00+00,16:33:00,B,M,22,Leg,N,N,N,1300 BLOCK Harrison St,0,-75.08496258,40.02043429,15,1,0,0,40.02043429,-75.08496258
0101000020E6100000A211A60709CB52C059036B07E9FD4340,0101000020110F00001A3EC60C07EC5FC1DC600F87948D5241,12649101,2021,2.02122E+11,3400,2021-07-29 00:00:00+00,19:11:00,B,M,27,Buttocks,N,N,N,BERKS AND JUDSON ST,0,-75.17242615,39.98367398,22,0,1,0,39.98367398,-75.17242614
0101000020E61000009F1B6007CAC952C0AB02184377084440,0101000020110F000000D8C931E9E95FC1FBDA858A49995241,12649102,2016,2.01614E+11,400,2016-10-21 00:00:00+00,9:05:00,B,M,53,Multiple,N,N,N,7200 BLOCK Walnut St,0,-75.15295586,40.06613959,14,0,1,0,40.06613959,-75.15295586
0101000020E61000009F1B6007CAC952C0AB02184377084440,0101000020110F000000D8C931E9E95FC1FBDA858A49995241,12649103,2016,2.01614E+11,400,2016-10-21 00:00:00+00,9:05:00,B,M,30,Multiple,N,N,N,7200 BLOCK Walnut St,0,-75.15295586,40.06613959,14,0,1,0,40.06613959,-75.15295586
0101000020E61000009F1B6007CAC952C0AB02184377084440,0101000020110F000000D8C931E9E95FC1FBDA858A49995241,12649104,2016,2.01614E+11,400,2016-10-21 00:00:00+00,9:05:00,B,M,30,Hand,N,N,N,7200 BLOCK Walnut St,0,-75.15295586,40.06613959,14,0,1,0,40.06613959,-75.15295586
0101000020E6100000807B6494E3C952C00489712726FA4340,0101000020110F0000833B5D9814EA5FC15C8D3F7D69895241,12649105,2023,2.02306E+11,400,2023-05-23 00:00:00+00,22:31:00,B,M,23,Multiple,N,N,N,800 BLOCK CHERRY ST,0,-75.15451536,39.95428937,6,0,1,0,39.95428937,-75.15451536
0101000020E6100000295F8E26B0CC52C0D23A4770E5FB4340,0101000020110F0000D3B056C3D5EE5FC1082D911A598B5241,12649106,2017,2.01716E+11,400,2017-08-13 00:00:00+00,11:14:00,B,M,21,Head,N,N,N,39th / Melon Sts,0,-75.19825138,39.96793941,16,0,1,0,39.96793941,-75.19825138
0101000020E61000004D6FDAE74CCE52C0AC165C9C46F84340,0101000020110F0000E38E7ADE92F15FC1C6E27B3D56875241,12649107,2023,2.02312E+11,100,2023-01-17 00:00:00+00,23:28:00,B,F,43,Shoulder,N,N,N,5400 BLOCK CHESTER AVE,0,-75.22344395,39.93965487,12,1,0,1,39.93965487,-75.22344395
0101000020E61000004D6FDAE74CCE52C0AC165C9C46F84340,0101000020110F0000E38E7ADE92F15FC1C6E27B3D56875241,12649108,2023,2.02312E+11,100,2023-01-17 00:00:00+00,23:28:00,B,M,20,Multiple/Head,N,N,N,5400 BLOCK CHESTER AVE,0,-75.22344395,39.93965487,12,1,0,0,39.93965487,-75.22344395
0101000020E61000004D6FDAE74CCE52C0AC165C9C46F84340,0101000020110F0000E38E7ADE92F15FC1C6E27B3D56875241,12649109,2023,2.02312E+11,100,2023-01-17 00:00:00+00,23:28:00,B,M,19,Multiple,N,N,N,5400 BLOCK CHESTER AVE,0,-75.22344395,39.93965487,12,1,0,1,39.93965487,-75.22344395
0101000020E61000002F5737C5C0CF52C073160F52E4FA4340,0101000020110F0000417BC7840AF45FC1F09D06313C8A5241,12649110,2021,2.02118E+11,400,2021-09-05 00:00:00+00,19:17:00,B,F,44,Multiple,N,N,N,6200 BLOCK SANSOM ST,0,-75.24614077,39.96009279,18,1,0,0,39.96009279,-75.24614077
0101000020E6100000B8E58653A4CB52C0A749006945FF4340,0101000020110F0000645722D60EED5FC17725A5B5168F5241,12649111,2021,2.02122E+11,400,2021-07-19 00:00:00+00,17:37:00,B,M,27,Shoulder,N,N,N,W CUMBERLAND ST  & N STANLEY ST ,0,-75.18190468,39.99430573,22,0,1,0,39.99430573,-75.18190468
0101000020E6100000B8E58653A4CB52C0A749006945FF4340,0101000020110F0000645722D60EED5FC17725A5B5168F5241,12649112,2021,2.02122E+11,400,2021-07-19 00:00:00+00,17:37:00,B,M,57,Hip,N,N,N,W CUMBERLAND ST  & N STANLEY ST ,0,-75.18190468,39.99430573,22,0,1,0,39.99430573,-75.18190468
0101000020E6100000B8E58653A4CB52C0A749006945FF4340,0101000020110F0000645722D60EED5FC17725A5B5168F5241,12649113,2021,2.02122E+11,400,2021-07-19 00:00:00+00,17:37:00,B,M,23,Arm,N,N,N,W CUMBERLAND ST  & N STANLEY ST ,0,-75.18190468,39.99430573,22,0,1,0,39.99430573,-75.18190468
0101000020E6100000E2AE7F532FCB52C01C78B5DC99064440,0101000020110F00001EAA991948EC5FC1472B92CC37975241,12649114,2022,2.02214E+11,400,2022-10-18 00:00:00+00,20:05:00,B,M,31,Abdomen,N,N,N,6300 BLOCK CHEW AVE,0,-75.17476356,40.0515705,14,0,1,0,40.0515705,-75.17476356
